coin_name,rates
611,0.389165
ABC,59.99
ACP,0.014931
ACT,0.012
ACT*,0.017178
ADA,2.827898
ADCN,0.00013
ADL,0.01515
ADX,0.558915
ADZ,0.0023
AE,0.15
AGI,0.0
AIB,0.005626
AIDOC,0.001899
AION,0.1937
AIR,0.001506
ALT,0.565615
AMB,0.043154
AMM,0.009493
ANT,5.0986
APC,0.0017
APPC,0.092105
ARC,0.0169
ARCT,0.00061
ARDR,0.292846
ARK,1.268335
ARN,0.11031
ASAFE2,0.4
AST,0.220337
ATB,0.017
ATM,15.7895
AURS,0.352867
AVT,0.0
BAR,0.00685
BASH,0.0056
BAT,0.843997
BAY,0.0644
BBP,0.0005
BCD,2.510776
BCH,641.83887
BCN,0.00038
BCPT,0.004749
BEE,1e-06
BIO,0.0008
BLC,0.072132
BLOCK,14.2395
BLU,0.00054
BLZ,0.2729
BMC,0.06363
BNB,478.358071
BNT,4.412705
BOST,0.048
BQ,7.775e-05
BQX,2.720931
BRD,0.191061
BRIT,0.03
BT1,0.0
BT2,0.0
BTC,47480.19398
BTCA,0.00036
BTCS,0.01201
BTCZ,0.000749
BTG,75.644965
BTLC,9.0
BTM,0.078282
BTM*,0.122609
BTQ,0.01
BTS,0.05967
BTX,0.283438
BURST,0.017348
CALC,0.0006
CAS,0.007
CAT,0.111198
CCRB,0.08888
CDT,0.043808
CESC,0.0037
CHAT,0.002424
CJ,0.000898
CL,0.028
CLD,0.02
CLOAK,10.0
CMT*,0.03954
CND,0.02184
CNX,1.996594
CPC,0.0005
CRAVE,0.4
CRC,0.08475
CRE,1.316485
CRW,0.05
CTO,0.005
CTR,0.017
CVC,0.340555
DAS,0.937816
DASH,236.223505
DAT,0.073157
DATA,0.145673
DBC,0.008073
DBET,0.027656
DCN,2.68e-05
DCR,175.377955
DCT,0.006173
DEEP,0.001
DENT,0.006078
DGB,0.065145
DGD,680.028446
DIM,9.4957e-05
DIME,3e-05
DMD,0.58782
DNT,0.187516
DOGE,0.280425
DRGN,0.100972
DRZ,3.0
DSH,252.13175
DTA,0.000629
EC,50.0
EDG,0.00944
EDO,1.15
EDR,0.0
EKO,0.002002
ELA,3.162
ELF,0.482702
EMC,0.072656
EMGO,0.43382
ENG,0.150155
ENJ,2.027345
EOS,5.115888
ERT,0.2054
ETC,64.971306
ETH,3573.062151
ETN,0.014136
ETP,0.236662
ETT,2.9
EVR,0.104931
EVX,0.533035
FCT,1.746599
FLP,0.01206
FOTA,0.00095
FRST,0.78001
FUEL,0.000858
FUN,0.029239
FUNC,0.00061
FUTC,0.004
GAME,0.155742
GAS,10.201874
GBYTE,28.972264
GMX,6.467e-05
GNO,304.65
GNT,0.49609
GNX,0.023743
GRC,0.0067
GRS,10.0
GRWI,10000.0
GTC,11.832406
GTO,0.049
GUP,0.004909
GVT,4.539222
GXS,0.39381
HAC,0.00118
HNC,0.0
HSR,1.8723
HST,0.0027
HVN,0.03529
ICN,0.1452
ICOS,17.0
ICX,1.394222
IGNIS,0.026807
ILC,0.098703
INK,0.001094
INS,0.293466
INSN,0.0473
INT,0.01735
IOP,15.455555
IOST,0.043083
ITC,0.08691
KCS,13.9
KICK,0.000324
KIN,9.04755e-05
KLC,0.000703
KMD,1.153368
KNC,2.010327
KRB,6.0
LA,0.12162
LEND,2.142585
LEO,2.950089
LINDA,0.000271
LINK,28.941799
LOC,6.439181
LOG,0.060174
LRC,0.529653
LSK,3.905466
LTC,176.518921
LUN,0.222243
LUX,2.09e-06
MAID,0.569395
MANA,0.95358
MCAP,0.005398
MCO,9.49
MDA,0.883747
MDS,0.008307
MIOTA,1.1377
MKR,3569.707854
MLN,113.356
MNX,0.028649
MOD,1.1029
MOIN,0.033073
MONA,1.561989
MTL,4.62925
MTN*,0.009575
MTX,0.053382
NAS,0.516
NAV,0.456788
NBT,47.677889
NDC,0.008989
NEBL,1.491902
NEO,54.098542
NEU,0.284
NEWB,0.002604
NGC,0.079405
NKC,0.002775
NLC2,0.599935
NMC,5.867998
NMR,46.425958
NULS,0.607
NVC,10.0
NXT,0.017802
OAX,0.194888
OBITS,0.015
OC,0.000909
OCN,0.001053
ODN,0.5
OK,0.028968
OMG,6.535824
OMNI,3.7202
ORE,0.0
ORME,1.235715
OST,0.008073
OTN,0.0
OTX,0.023
OXY,1.9853
PART,3.951477
PAY,0.063634
PBT,786.965349
PCS,0.019961
PIVX,0.800648
PIZZA,0.001
PLBT,20.0
PLR,0.049898
POE,0.00019
POLY,0.36
POSW,0.48712
POWR,0.330517
PPC,0.933085
PPT,2.405
PPY,5.45
PRC,3e-05
PRES,0.219998
PRG,0.4
PRL,0.061361
PRO,0.245979
PURA,0.25
PUT,0.0
QASH,0.072242
QAU,0.0
QSP,0.05271
QTUM,12.728802
QUN,0.008318
R,1.0
RBIES,1.0
RCN,0.023859
RDD,0.00284
RDN,0.0
RDN*,0.324446
REBL,0.00379
REE,1e-05
REP,28.478
REQ,0.233506
REV,0.021487
RGC,0.001
RHOC,0.178417
RIYA,0.090025
RKC,5.0
RLC,4.654193
RPX,0.106373
RUFF,0.008966
SALT,0.768708
SAN,0.243637
SBC,7.0
SC,0.02045
SENT,0.010005
SHIFT,0.0
SIB,5.177
SMART,0.006656
SMLY,6e-05
SMT*,0.011226
SNC,0.038395
SNGLS,0.001894
SNM,0.291091
SNT,0.096368
SPK,0.0084
SRN,0.014086
STEEM,0.60435
STK,0.003324
STORJ,1.462443
STRAT,0.789591
STU,0.00019
STX,0.735351
SUB,0.004205
SUR,0.264348
SWFTC,0.002155
SYS,0.240763
TAAS,10.0
TESLA,0.019139
THC,0.006648
THETA,6.758472
THS,0.00171
TIO,0.085
TKN,0.0
TKY,0.00095
TNB,0.003881
TNT,0.019279
TOA,0.002397
TRC,6.2
TRIG,0.940257
TRST,0.04799
TRUMP,0.055
TRX,0.091379
UBQ,0.309832
UNO,118.1205
UNRC,6e-05
UQC,14.968
USDT,1.000637
UTK,0.433563
UTT,0.359466
VEE,0.0094
VEN,6.614131
VERI,23.736235
VIA,0.294424
VIB,0.055068
VIBE,0.019944
VOISE,0.00018
VOX,1423.04502
VRS,0.1375
VTC,0.577926
VUC,9.9e-05
WABI,0.268299
WAVES,28.985126
WAX,0.3422
WC,0.045
WGR,0.043689
WINGS,0.051762
WLK,0.0058
WOP,0.046453
WPR,0.009497
WRC,0.000418
WTC,0.9328
XAUR,0.10301
XBP,0.0027
XBY,0.2889
XCP,13.766693
XCXT,0.095658
XDN,0.00095
XEM,0.19626
XGB,0.0015
XHI,0.001325
XID,0.010924
XLM,0.350696
XMR,299.785806
XNC,0.00018
XRB,45.832179
XRP,1.193569
XTO,0.324858
XTZ,5.247482
XUC,0.1579
XVG,0.027194
XZC,4.96985
YEE,0.001705
YOC,0.00012
YOYOW,0.024218
ZBC,0.0
ZCL,0.154811
ZEC,150.01933
ZEN,89.83009
ZIL,0.113193
ZNY,0.02
ZRX,1.10555
ZSC,0.00031
